id,comp,target,fert,light,cage_rand1,cage_rand2,biomass,status,comp_treat,family_tar,family_comp
AH_290,Galinsoga_parviflora,Hieracium_pilosella,high,low light,7,7,0.0643,native,inter,Compositae,Compositae
AH_291,Elsholtzia_ciliata,Mentha_longifolia,high,low light,5,5,2.4356,native,inter,Lamiaceae,Lamiaceae
AH_292,Salvia_verticillata,Prunella_vulgaris,high,low light,8,8,0.8642,native,inter,Lamiaceae,Lamiaceae
AH_293,Onobrychis_viciifolia,Medicago_falcata,high,low light,6,5,0.5862,native,inter,Leguminosae,Leguminosae
AH_294,Vicia_villosa,Medicago_lupulina,high,low light,7,8,0.4808,native,inter,Leguminosae,Leguminosae
AH_295,Epilobium_ciliatum,Epilobium_hirsutum,high,low light,8,6,3.3391,native,inter,Onagraceae,Onagraceae
AH_296,Eragrostis_minor,Vulpia_myuros,high,low light,5,7,0.9094,native,inter,Poaceae,Poaceae
AH_297,Galinsoga_parviflora,Vulpia_myuros,high,low light,8,5,7.5625,native,inter,Poaceae,Compositae
AH_298,Vicia_villosa,Hieracium_pilosella,high,low light,7,6,1.3872,native,inter,Compositae,Leguminosae
AH_299,Eragrostis_minor,Cardamine_hirsuta,high,low light,5,6,0.8092,native,inter,Brassicaceae,Poaceae
AH_300,Elsholtzia_ciliata,Cardamine_hirsuta,high,low light,6,6,1.1016,native,inter,Brassicaceae,Lamiaceae
AH_301,Galinsoga_parviflora,Cardamine_hirsuta,high,low light,8,8,0.5891,native,inter,Brassicaceae,Compositae
AH_302,Onobrychis_viciifolia,Prunella_vulgaris,high,low light,6,6,2.869,native,inter,Lamiaceae,Leguminosae
AH_303,Eragrostis_minor,Mentha_longifolia,high,low light,5,5,1.8408,native,inter,Lamiaceae,Poaceae
AH_304,Elsholtzia_ciliata,Prunella_vulgaris,high,low light,7,5,1.8543,native,inter,Lamiaceae,Lamiaceae
AH_305,Diplotaxis_muralis,Medicago_lupulina,high,low light,5,6,2.2881,native,inter,Leguminosae,Brassicaceae
AH_306,Salvia_verticillata,Cardamine_hirsuta,high,low light,7,8,0.3604,native,inter,Brassicaceae,Lamiaceae
AH_307,Epilobium_ciliatum,Cardamine_hirsuta,high,low light,6,7,1.0167,native,inter,Brassicaceae,Onagraceae
AH_308,Epilobium_ciliatum,Mentha_longifolia,high,low light,8,8,2.0325,native,inter,Lamiaceae,Onagraceae
AH_309,Diplotaxis_muralis,Medicago_falcata,high,low light,5,5,0.286,native,inter,Leguminosae,Brassicaceae
AH_310,Elsholtzia_ciliata,Hieracium_pilosella,high,low light,6,6,1.3026,native,inter,Compositae,Lamiaceae
AH_311,Vicia_villosa,Prunella_vulgaris,high,low light,7,7,2.0664,native,inter,Lamiaceae,Leguminosae
AH_312,Galinsoga_parviflora,Medicago_falcata,high,low light,8,5,0.1436,native,inter,Leguminosae,Compositae
AH_313,Diplotaxis_muralis,Prunella_vulgaris,high,low light,5,8,0.4739,native,inter,Lamiaceae,Brassicaceae
AH_314,Onobrychis_viciifolia,Mentha_longifolia,high,low light,8,7,4.0592,native,inter,Lamiaceae,Leguminosae
AH_315,Galinsoga_parviflora,Medicago_lupulina,high,low light,6,7,0.5175,native,inter,Leguminosae,Compositae
AH_316,Diplotaxis_muralis,Hieracium_pilosella,high,low light,7,6,0.5244,native,inter,Compositae,Brassicaceae
AH_317,Galinsoga_parviflora,Prunella_vulgaris,high,low light,5,7,0.2573,native,inter,Lamiaceae,Compositae
AH_318,Epilobium_ciliatum,Medicago_falcata,high,low light,7,5,0.2717,native,inter,Leguminosae,Onagraceae
AH_320,Epilobium_ciliatum,Vulpia_myuros,high,low light,8,5,1.6574,native,inter,Poaceae,Onagraceae
AH_001,Non,Cardamine_hirsuta,low,high light,1,3,0.6699,native,alone,Brassicaceae,Non
AH_002,Non,Diplotaxis_muralis,low,high light,4,3,1.8971,alien,alone,Brassicaceae,Non
AH_003,Non,Galinsoga_parviflora,low,high light,3,1,2.5983,alien,alone,Compositae,Non
AH_004,Non,Hieracium_pilosella,low,high light,2,1,0.6843,native,alone,Compositae,Non
AH_005,Non,Elsholtzia_ciliata,low,high light,3,4,1.2576,alien,alone,Lamiaceae,Non
AH_006,Non,Mentha_longifolia,low,high light,2,4,2.2924,native,alone,Lamiaceae,Non
AH_007,Non,Prunella_vulgaris,low,high light,4,2,0.7632,native,alone,Lamiaceae,Non
AH_008,Non,Salvia_verticillata,low,high light,1,1,1.9537,alien,alone,Lamiaceae,Non
AH_009,Non,Medicago_falcata,low,high light,1,2,0.1972,native,alone,Leguminosae,Non
AH_010,Non,Medicago_lupulina,low,high light,3,3,0.5875,native,alone,Leguminosae,Non
AH_011,Non,Onobrychis_viciifolia,low,high light,2,1,0.3833,alien,alone,Leguminosae,Non
AH_012,Non,Vicia_villosa,low,high light,4,2,0.5334,alien,alone,Leguminosae,Non
AH_013,Non,Epilobium_ciliatum,low,high light,4,4,1.5837,alien,alone,Onagraceae,Non
AH_014,Non,Epilobium_hirsutum,low,high light,3,1,1.3361,native,alone,Onagraceae,Non
AH_015,Non,Eragrostis_minor,low,high light,1,4,2.5604,alien,alone,Poaceae,Non
AH_016,Non,Vulpia_myuros,low,high light,2,4,1.3148,native,alone,Poaceae,Non
AH_017,Non,Cardamine_hirsuta,low,high light,1,1,0.3135,native,alone,Brassicaceae,Non
AH_018,Non,Diplotaxis_muralis,low,high light,4,2,1.1471,alien,alone,Brassicaceae,Non
AH_019,Non,Galinsoga_parviflora,low,high light,3,2,3.141,alien,alone,Compositae,Non
AH_020,Non,Hieracium_pilosella,low,high light,2,2,0.2803,native,alone,Compositae,Non
AH_021,Non,Elsholtzia_ciliata,low,high light,4,1,0.9971,alien,alone,Lamiaceae,Non
AH_022,Non,Mentha_longifolia,low,high light,3,4,1.4663,native,alone,Lamiaceae,Non
AH_023,Non,Prunella_vulgaris,low,high light,2,1,0.4192,native,alone,Lamiaceae,Non
AH_024,Non,Salvia_verticillata,low,high light,1,4,1.6488,alien,alone,Lamiaceae,Non
AH_025,Non,Medicago_falcata,low,high light,2,2,1.0723,native,alone,Leguminosae,Non
AH_026,Non,Medicago_lupulina,low,high light,4,3,0.6401,native,alone,Leguminosae,Non
AH_027,Non,Onobrychis_viciifolia,low,high light,3,3,0.0673,alien,alone,Leguminosae,Non
AH_028,Non,Vicia_villosa,low,high light,1,2,7.00E-04,alien,alone,Leguminosae,Non
AH_029,Non,Epilobium_ciliatum,low,high light,4,2,1.4691,alien,alone,Onagraceae,Non
AH_030,Non,Epilobium_hirsutum,low,high light,1,3,0.9503,native,alone,Onagraceae,Non
AH_031,Non,Eragrostis_minor,low,high light,3,2,4.0594,alien,alone,Poaceae,Non
AH_032,Non,Vulpia_myuros,low,high light,2,3,0.2165,native,alone,Poaceae,Non
AH_033,Non,Cardamine_hirsuta,high,high light,2,3,1.2045,native,alone,Brassicaceae,Non
AH_034,Non,Diplotaxis_muralis,high,high light,1,1,3.6206,alien,alone,Brassicaceae,Non
AH_035,Non,Galinsoga_parviflora,high,high light,4,1,7.0917,alien,alone,Compositae,Non
AH_036,Non,Hieracium_pilosella,high,high light,3,1,0.6931,native,alone,Compositae,Non
AH_037,Non,Elsholtzia_ciliata,high,high light,3,2,2.273,alien,alone,Lamiaceae,Non
AH_038,Non,Mentha_longifolia,high,high light,1,3,4.7204,native,alone,Lamiaceae,Non
AH_039,Non,Prunella_vulgaris,high,high light,2,4,1.2974,native,alone,Lamiaceae,Non
AH_040,Non,Salvia_verticillata,high,high light,4,4,5.7011,alien,alone,Lamiaceae,Non
AH_041,Non,Medicago_falcata,high,high light,1,2,1.7603,native,alone,Leguminosae,Non
AH_042,Non,Medicago_lupulina,high,high light,3,3,2.2048,native,alone,Leguminosae,Non
AH_043,Non,Onobrychis_viciifolia,high,high light,2,1,1.0298,alien,alone,Leguminosae,Non
AH_044,Non,Vicia_villosa,high,high light,4,4,0.4379,alien,alone,Leguminosae,Non
AH_045,Non,Epilobium_ciliatum,high,high light,1,4,5.3785,alien,alone,Onagraceae,Non
AH_046,Non,Epilobium_hirsutum,high,high light,3,4,4.0453,native,alone,Onagraceae,Non
AH_047,Non,Eragrostis_minor,high,high light,2,4,5.2423,alien,alone,Poaceae,Non
AH_048,Non,Vulpia_myuros,high,high light,4,3,1.0201,native,alone,Poaceae,Non
AH_049,Non,Cardamine_hirsuta,high,high light,1,3,1.7223,native,alone,Brassicaceae,Non
AH_050,Non,Diplotaxis_muralis,high,high light,3,1,2.8753,alien,alone,Brassicaceae,Non
AH_051,Non,Galinsoga_parviflora,high,high light,2,2,6.0581,alien,alone,Compositae,Non
AH_052,Non,Hieracium_pilosella,high,high light,4,3,1.1692,native,alone,Compositae,Non
AH_053,Non,Elsholtzia_ciliata,high,high light,1,2,1.5615,alien,alone,Lamiaceae,Non
AH_054,Non,Mentha_longifolia,high,high light,4,2,4.8224,native,alone,Lamiaceae,Non
AH_055,Non,Prunella_vulgaris,high,high light,3,3,1.0474,native,alone,Lamiaceae,Non
AH_056,Non,Salvia_verticillata,high,high light,2,2,4.7045,alien,alone,Lamiaceae,Non
AH_057,Non,Medicago_falcata,high,high light,2,4,0.8832,native,alone,Leguminosae,Non
AH_058,Non,Medicago_lupulina,high,high light,4,1,1.1037,native,alone,Leguminosae,Non
AH_059,Non,Onobrychis_viciifolia,high,high light,1,1,1.1748,alien,alone,Leguminosae,Non
AH_060,Non,Vicia_villosa,high,high light,3,3,1.7228,alien,alone,Leguminosae,Non
AH_061,Non,Epilobium_ciliatum,high,high light,4,1,3.9282,alien,alone,Onagraceae,Non
AH_062,Non,Epilobium_hirsutum,high,high light,3,2,4.6592,native,alone,Onagraceae,Non
AH_063,Non,Eragrostis_minor,high,high light,2,1,4.0555,alien,alone,Poaceae,Non
AH_064,Non,Vulpia_myuros,high,high light,1,3,0.9223,native,alone,Poaceae,Non
AH_065,Non,Cardamine_hirsuta,low,low light,5,7,0.4056,native,alone,Brassicaceae,Non
AH_066,Non,Diplotaxis_muralis,low,low light,8,7,2.2319,alien,alone,Brassicaceae,Non
AH_067,Non,Galinsoga_parviflora,low,low light,7,5,1.5312,alien,alone,Compositae,Non
AH_068,Non,Hieracium_pilosella,low,low light,6,8,0.55,native,alone,Compositae,Non
AH_069,Non,Elsholtzia_ciliata,low,low light,6,5,0.5991,alien,alone,Lamiaceae,Non
AH_070,Non,Mentha_longifolia,low,low light,8,6,0.714,native,alone,Lamiaceae,Non
AH_071,Non,Prunella_vulgaris,low,low light,7,8,0.5721,native,alone,Lamiaceae,Non
AH_072,Non,Salvia_verticillata,low,low light,5,8,1.924,alien,alone,Lamiaceae,Non
AH_073,Non,Medicago_falcata,low,low light,6,6,1.0776,native,alone,Leguminosae,Non
AH_074,Non,Medicago_lupulina,low,low light,8,8,0.6566,native,alone,Leguminosae,Non
AH_075,Non,Onobrychis_viciifolia,low,low light,5,5,0.5371,alien,alone,Leguminosae,Non
AH_076,Non,Vicia_villosa,low,low light,7,8,0.6709,alien,alone,Leguminosae,Non
AH_077,Non,Epilobium_ciliatum,low,low light,8,5,0.3773,alien,alone,Onagraceae,Non
AH_079,Non,Eragrostis_minor,low,low light,5,6,0.3292,alien,alone,Poaceae,Non
AH_080,Non,Vulpia_myuros,low,low light,6,7,0.5174,native,alone,Poaceae,Non
AH_081,Non,Cardamine_hirsuta,low,low light,8,6,0.2775,native,alone,Brassicaceae,Non
AH_082,Non,Diplotaxis_muralis,low,low light,5,6,0.3015,alien,alone,Brassicaceae,Non
AH_083,Non,Galinsoga_parviflora,low,low light,7,8,3.0751,alien,alone,Compositae,Non
AH_084,Non,Hieracium_pilosella,low,low light,6,6,0.2441,native,alone,Compositae,Non
AH_085,Non,Elsholtzia_ciliata,low,low light,5,8,0.6331,alien,alone,Lamiaceae,Non
AH_086,Non,Mentha_longifolia,low,low light,7,7,1.6652,native,alone,Lamiaceae,Non
AH_087,Non,Prunella_vulgaris,low,low light,8,7,0.805,native,alone,Lamiaceae,Non
AH_088,Non,Salvia_verticillata,low,low light,6,7,0.4753,alien,alone,Lamiaceae,Non
AH_089,Non,Medicago_falcata,low,low light,6,6,0.5482,native,alone,Leguminosae,Non
AH_090,Non,Medicago_lupulina,low,low light,8,5,0.9191,native,alone,Leguminosae,Non
AH_091,Non,Onobrychis_viciifolia,low,low light,5,7,0.4383,alien,alone,Leguminosae,Non
AH_092,Non,Vicia_villosa,low,low light,7,8,0.5308,alien,alone,Leguminosae,Non
AH_093,Non,Epilobium_ciliatum,low,low light,6,6,1.8471,alien,alone,Onagraceae,Non
AH_094,Non,Epilobium_hirsutum,low,low light,5,5,0.9461,native,alone,Onagraceae,Non
AH_095,Non,Eragrostis_minor,low,low light,7,5,0.8061,alien,alone,Poaceae,Non
AH_096,Non,Vulpia_myuros,low,low light,8,8,0.0964,native,alone,Poaceae,Non
AH_097,Non,Cardamine_hirsuta,high,low light,8,8,1.2129,native,alone,Brassicaceae,Non
AH_098,Non,Diplotaxis_muralis,high,low light,7,5,1.7084,alien,alone,Brassicaceae,Non
AH_099,Non,Galinsoga_parviflora,high,low light,6,5,5.9984,alien,alone,Compositae,Non
AH_100,Non,Hieracium_pilosella,high,low light,5,6,1.0538,native,alone,Compositae,Non
AH_101,Non,Elsholtzia_ciliata,high,low light,5,5,1.4362,alien,alone,Lamiaceae,Non
AH_102,Non,Mentha_longifolia,high,low light,7,7,2.6528,native,alone,Lamiaceae,Non
AH_103,Non,Prunella_vulgaris,high,low light,8,6,0.2964,native,alone,Lamiaceae,Non
AH_104,Non,Salvia_verticillata,high,low light,6,8,5.165,alien,alone,Lamiaceae,Non
AH_105,Non,Medicago_falcata,high,low light,7,6,1.1729,native,alone,Leguminosae,Non
AH_106,Non,Medicago_lupulina,high,low light,8,7,2.4571,native,alone,Leguminosae,Non
AH_107,Non,Onobrychis_viciifolia,high,low light,6,8,1.4309,alien,alone,Leguminosae,Non
AH_108,Non,Vicia_villosa,high,low light,5,7,0.7319,alien,alone,Leguminosae,Non
AH_109,Non,Epilobium_ciliatum,high,low light,5,8,3.2883,alien,alone,Onagraceae,Non
AH_110,Non,Epilobium_hirsutum,high,low light,8,5,2.7766,native,alone,Onagraceae,Non
AH_111,Non,Eragrostis_minor,high,low light,6,7,3.6857,alien,alone,Poaceae,Non
AH_113,Non,Cardamine_hirsuta,high,low light,7,6,1.9214,native,alone,Brassicaceae,Non
AH_114,Non,Diplotaxis_muralis,high,low light,8,5,5.1048,alien,alone,Brassicaceae,Non
AH_115,Non,Galinsoga_parviflora,high,low light,5,6,6.9233,alien,alone,Compositae,Non
AH_116,Non,Hieracium_pilosella,high,low light,6,6,1.1812,native,alone,Compositae,Non
AH_117,Non,Elsholtzia_ciliata,high,low light,6,8,1.379,alien,alone,Lamiaceae,Non
AH_118,Non,Mentha_longifolia,high,low light,5,5,3.6661,native,alone,Lamiaceae,Non
AH_119,Non,Prunella_vulgaris,high,low light,8,8,1.6662,native,alone,Lamiaceae,Non
AH_120,Non,Salvia_verticillata,high,low light,7,8,4.2805,alien,alone,Lamiaceae,Non
AH_121,Non,Medicago_falcata,high,low light,5,7,5.961,native,alone,Leguminosae,Non
AH_122,Non,Medicago_lupulina,high,low light,6,5,2.0181,native,alone,Leguminosae,Non
AH_123,Non,Onobrychis_viciifolia,high,low light,7,8,0.6181,alien,alone,Leguminosae,Non
AH_124,Non,Vicia_villosa,high,low light,8,7,1.0417,alien,alone,Leguminosae,Non
AH_125,Non,Epilobium_ciliatum,high,low light,8,6,3.7637,alien,alone,Onagraceae,Non
AH_126,Non,Epilobium_hirsutum,high,low light,7,7,3.4405,native,alone,Onagraceae,Non
AH_128,Non,Vulpia_myuros,high,low light,6,6,0.6763,native,alone,Poaceae,Non
AH_129,Cardamine_hirsuta,Cardamine_hirsuta,low,high light,2,4,0.023,native,intra,Brassicaceae,Brassicaceae
AH_130,Diplotaxis_muralis,Diplotaxis_muralis,low,high light,4,2,0.2541,alien,intra,Brassicaceae,Brassicaceae
AH_131,Galinsoga_parviflora,Galinsoga_parviflora,low,high light,3,1,1.8512,alien,intra,Compositae,Compositae
AH_132,Hieracium_pilosella,Hieracium_pilosella,low,high light,1,4,0.3338,native,intra,Compositae,Compositae
AH_133,Elsholtzia_ciliata,Elsholtzia_ciliata,low,high light,3,4,0.8425,alien,intra,Lamiaceae,Lamiaceae
AH_134,Mentha_longifolia,Mentha_longifolia,low,high light,1,4,1.3642,native,intra,Lamiaceae,Lamiaceae
AH_135,Prunella_vulgaris,Prunella_vulgaris,low,high light,4,4,0.6971,native,intra,Lamiaceae,Lamiaceae
AH_136,Salvia_verticillata,Salvia_verticillata,low,high light,2,1,2.1215,alien,intra,Lamiaceae,Lamiaceae
AH_137,Medicago_falcata,Medicago_falcata,low,high light,3,3,0.2207,native,intra,Leguminosae,Leguminosae
AH_138,Medicago_lupulina,Medicago_lupulina,low,high light,1,1,0.4705,native,intra,Leguminosae,Leguminosae
AH_139,Onobrychis_viciifolia,Onobrychis_viciifolia,low,high light,4,3,0.8228,alien,intra,Leguminosae,Leguminosae
AH_140,Vicia_villosa,Vicia_villosa,low,high light,2,3,0.2443,alien,intra,Leguminosae,Leguminosae
AH_141,Epilobium_ciliatum,Epilobium_ciliatum,low,high light,3,1,1.2891,alien,intra,Onagraceae,Onagraceae
AH_142,Epilobium_hirsutum,Epilobium_hirsutum,low,high light,2,3,1.7456,native,intra,Onagraceae,Onagraceae
AH_143,Eragrostis_minor,Eragrostis_minor,low,high light,1,2,1.299,alien,intra,Poaceae,Poaceae
AH_144,Vulpia_myuros,Vulpia_myuros,low,high light,4,4,1.1476,native,intra,Poaceae,Poaceae
AH_146,Diplotaxis_muralis,Diplotaxis_muralis,high,high light,2,4,0.4613,alien,intra,Brassicaceae,Brassicaceae
AH_148,Hieracium_pilosella,Hieracium_pilosella,high,high light,4,4,0.4095,native,intra,Compositae,Compositae
AH_149,Elsholtzia_ciliata,Elsholtzia_ciliata,high,high light,2,4,1.4472,alien,intra,Lamiaceae,Lamiaceae
AH_151,Prunella_vulgaris,Prunella_vulgaris,high,high light,3,2,1.1209,native,intra,Lamiaceae,Lamiaceae
AH_152,Salvia_verticillata,Salvia_verticillata,high,high light,1,1,2.4975,alien,intra,Lamiaceae,Lamiaceae
AH_153,Medicago_falcata,Medicago_falcata,high,high light,3,4,0.1813,native,intra,Leguminosae,Leguminosae
AH_154,Medicago_lupulina,Medicago_lupulina,high,high light,4,3,1.5736,native,intra,Leguminosae,Leguminosae
AH_155,Onobrychis_viciifolia,Onobrychis_viciifolia,high,high light,2,2,0.6345,alien,intra,Leguminosae,Leguminosae
AH_156,Vicia_villosa,Vicia_villosa,high,high light,1,4,1.0476,alien,intra,Leguminosae,Leguminosae
AH_157,Epilobium_ciliatum,Epilobium_ciliatum,high,high light,3,3,3.2154,alien,intra,Onagraceae,Onagraceae
